from_act,from_num,from_heading,to_act,to_num,to_heading,relation,score
crpc,347,When Registrar or Sub-Registrar to be deemed a Civil Court,bnss,386,When Registrar or Sub-Registrar to be deemed a Civil Court,near-identical,1
crpc,348,Discharge of offender on submission of apology,bnss,387,Discharge of offender on submission of apology,near-identical,1
crpc,349,Imprisonment or committal of person refusing to answer or producedocument,bnss,388,Imprisonment or committal of person refusing to answer or produce document,near-identical,0.8911
crpc,350,Summary procedure for punishment for non-attendance by a witness inobedience to summons,bnss,389,Summary procedure for punishment for non-attendance by a witness in obedience to summons,near-identical,0.9127
crpc,351,"Appeals from convictions under sections 344, 345, 349, and 350",bnss,390,"Appeals from convictions under sections 383, 384, 388 and 389",near-identical,0.9592
crpc,352,Certain Judges and Magistrates not to try certain offences whencommitted before themselves,bnss,391,Certain Judges and Magistrates not to try certain offences when committed before themselves,close,0.7572
crpc,353,Judgment,bnss,392,Judgment,near-identical,0.9218
crpc,354,Language and contents of judgment,bnss,393,Language and contents of judgment,near-identical,0.9923
crpc,355,Metropolitan Magistrate's judgment,bnss,286,Record in summary trials,weak,0.4578
crpc,356,Order for notifying address of previously convicted offender,bnss,394,Order for notifying address of previously convicted offender,near-identical,0.9629
crpc,357,Order to pay compensation,bnss,395,Order to pay compensation,near-identical,1
crpc,358,Compensation to persons groundlessly arrested,bnss,399,Compensation to persons groundlessly arrested,near-identical,0.9622
crpc,359,Order to pay costs in non-cognizable cases,bnss,400,Order to pay costs in non-cognizable cases,near-identical,0.9865
crpc,360,Order to release on probation of good conduct or after admonition,bnss,401,Order to release on probation of good conduct or after admonition,near-identical,0.9878
crpc,361,Special reasons to be recorded in certain cases,bnss,402,Special reasons to be recorded in certain cases,near-identical,0.95
crpc,362,Court not to after judgement,bnss,403,Court not to alter judgment,close,0.786
crpc,363,Copy of judgement to be given to the accused and other persons,bnss,404,Copy of judgment to be given to accused and other persons,near-identical,0.9398
crpc,364,Judgement when to be translated,bnss,405,Judgment when to be translated,near-identical,0.8809
crpc,365,Court of Session to send copy of finding and sentence to DistrictMagistrate,bnss,406,Court of Session to send copy of finding and sentence to District Magistrate,close,0.6818
crpc,366,Sentence of death to be submitted by Court of session forconfirmation,bnss,407,Sentence of death to be submitted by Court of Session for confirmation,near-identical,0.8731
crpc,367,Power to direct further inquiry to be made or additional evidence tobe taken,bnss,408,Power to direct further inquiry to be made or additional evidence to be taken,near-identical,0.958
crpc,368,Power of High Court to confirm sentence or annul conviction,bnss,409,Power of High Court to confirm sentence or annul conviction,near-identical,1
crpc,369,Confirmation or new sentence to be signed by two Judges,bnss,410,Confirmation or new sentence to be signed by two Judges,near-identical,1
crpc,370,Procedure in case of difference of opinion,bnss,411,Procedure in case of difference of opinion,near-identical,1
crpc,371,Procedure in cases submitted to High Court for confirmation,bnss,412,Procedure in cases submitted to High Court for confirmation,near-identical,0.95
crpc,372,"No appeal to lie, unless otherwise provided",bnss,413,No appeal to lie unless otherwise provided,near-identical,0.95
crpc,373,Appeal from orders requiring security or refusal to accept orrejecting surety for keeping peace or good behaviour,bnss,414,Appeal from orders requiring security or refusal to accept or rejecting surety for keeping peace or good behavior,near-identical,0.8966
crpc,374,Appeals from convictions,bnss,415,Appeals from convictions,near-identical,0.926
crpc,375,No Appeal in certain cases when accused pleads guilty,bnss,416,No appeal in certain cases when accused pleads guilty,near-identical,0.95
crpc,376,No appeal in petty cases,bnss,417,No appeal in petty cases,near-identical,0.9892
crpc,377,Appeal by the State Government against sentence,bnss,418,Appeal by State Government against sentence,near-identical,0.8735
crpc,378,Appeal in case of acquittal,bnss,419,Appeal in case of acquittal,near-identical,0.95
crpc,379,Appeal against conviction by High Court in certain cases,bnss,420,Appeal against conviction by High Court in certain cases,near-identical,1
crpc,380,Special right of appeal in certain cases,bnss,421,Special right of appeal in certain cases,near-identical,0.9853
crpc,381,Appeal to Court of Session how heard,bnss,422,Appeal to Court of Session how heard,near-identical,0.9694
crpc,382,Petition of appeal,bnss,423,Petition of appeal,near-identical,0.891
crpc,383,Procedure when appellant in jail,bnss,424,Procedure when appellant in jail,near-identical,1
crpc,384,Summary dismissal of appeal,bnss,425,Summary dismissal of appeal,near-identical,0.9791
crpc,385,Procedure for hearing appeals not dismissed summarily,bnss,426,Procedure for hearing appeals not dismissed summarily,near-identical,0.9897
crpc,386,Power of the Appellate Court,bnss,427,Powers of Appellate Court,near-identical,0.9301
crpc,387,Judgments of subordinate Appellate Court,bnss,428,Judgments of subordinate Appellate Court,near-identical,0.95
crpc,388,Order of High Court on appeal to be certificated to lower Court,bnss,429,Order of High Court on appeal to be certified to lower Court,near-identical,0.9317
crpc,389,Suspension of sentence pending the appeal; release of appellant onbail,bnss,430,Suspension of sentence pending appeal; release of appellant on bail,near-identical,0.8744
crpc,390,Arrest of accused in appeal from acquittal,bnss,431,Arrest of accused in appeal from acquittal,near-identical,1
crpc,391,Appellate Court may take further evidence or direct it to be taken,bnss,432,Appellate Court may take further evidence or direct it to be taken,near-identical,0.95
crpc,392,Procedure where Judges of Court of Appeal are equally divided,bnss,433,Procedure where Judges of Court of appeal are equally divided,near-identical,1
crpc,393,Finality of judgments and orders on appeal,bnss,434,Finality of judgments and orders on appeal,near-identical,0.95
crpc,394,Abatement of appeals,bnss,435,Abatement of appeals,near-identical,0.9587
crpc,395,Reference to High Court,bnss,436,Reference to High Court,near-identical,0.9903
crpc,396,Disposal of case according to decision of High Court,bnss,437,Disposal of case according to decision of High Court,near-identical,1
crpc,397,Calling for records to exercise powers of revision,bnss,438,Calling for records to exercise powers of revision,near-identical,0.9925
crpc,398,Power to order inquiry,bnss,439,Power to order inquiry,near-identical,0.9766
crpc,399,Sessions Judge's powers of revision,bnss,440,Sessions Judge's powers of revision,near-identical,1
crpc,400,Power of Additional Sessons Judge,bnss,441,Power of Additional Sessions Judge,near-identical,0.9143
crpc,401,High Court's Powers of revisions,bnss,442,High Court's powers of revision,near-identical,0.8669
crpc,402,Powers of High Court to withdraw or tranfer revision cases,bnss,443,Power of High Court to withdraw or transfer revision cases,near-identical,0.9156
crpc,403,Option of Court to hear parties,bnss,444,Option of Court to hear parties,near-identical,0.95
crpc,404,Statement by Metropolitan Magistrate of ground of his decision to beconsidered by High Court,bnss,,,none,0.2637
crpc,405,High Courts' order to be certified to lower Court,bnss,445,High Court's order to be certified to lower Court,near-identical,0.8758
crpc,406,Power of Supreme Court to transfer cases and appeals,bnss,446,Power of Supreme Court to transfer cases and appeals,near-identical,0.9867
crpc,407,Power of High Court to transfer cases and appeals,bnss,447,Power of High Court to transfer cases and appeals,near-identical,0.9867
crpc,408,Power of Sessions Judge to transfer cases and appeals,bnss,448,Power of Sessions Judge to transfer cases and appeals,near-identical,0.95
crpc,409,Withdrawal of cases and appeals by Sessions Judges,bnss,449,Withdrawal of cases and appeals by Sessions Judges,near-identical,0.9901
crpc,410,Withdrawal of cases by Judicial Magistrates,bnss,450,Withdrawal of cases by Judicial Magistrates,near-identical,0.9916
crpc,411,Making over or withdrawal of cases by Excutive Magistrates,bnss,451,Making over or withdrawal of cases by Executive Magistrates,near-identical,0.9226
crpc,412,Reasons to be recorded,bnss,452,Reasons to be recorded,near-identical,0.95
crpc,413,Execution of order passed under section 368,bnss,453,Execution of order passed under section 409,near-identical,1
crpc,414,Execution of sentence of death passed by High Court,bnss,454,Execution of sentence of death passed by High Court,near-identical,1
crpc,415,Postponement of execution sentence of death in case of appeal toSupreme Court,bnss,455,Postponement of execution of sentence of death in case of appeal to Supreme Court,near-identical,0.9241
crpc,416,Postponement of capital sentence pregnant woman,bnss,456,Commutation of sentence of death on pregnant woman,close,0.7899
crpc,417,Power to appoint place of imprisonment,bnss,457,Power to appoint place of imprisonment,near-identical,0.95
crpc,418,Execution of sentence of imprisonment,bnss,458,Execution of sentence of imprisonment,near-identical,1
crpc,419,Direction of warrant for execution,bnss,459,Direction of warrant for execution,near-identical,1
crpc,420,Warrant with whom to be lodged,bnss,460,Warrant with whom to be lodged,near-identical,0.95
crpc,421,Warrant for levy of fine,bnss,461,Warrant for levy of fine,near-identical,0.9995
crpc,422,Effect of such warrant,bnss,462,Effect of such warrant,near-identical,1
crpc,423,Warrant for levy of fine issued by a Court in any territory to whichthis Code does not extend,bnss,463,Warrant for levy of fine issued by a Court in any territory to which this Sanhita does not extend,near-identical,0.9182
crpc,424,Suspension of execution of sentence of imprisonment,bnss,464,Suspension of execution of sentence of imprisonment,near-identical,0.95
crpc,425,Who may issue warrant,bnss,465,Who may issue warrant,near-identical,1
crpc,426,Sentence on escaped convict when to take effect,bnss,466,Sentence on escaped convict when to take effect,near-identical,1
crpc,427,Sentence on offender already sentenced for another offence,bnss,467,Sentence on offender already sentenced for another offence,near-identical,0.9503
crpc,428,Period of detention undergone by the accused to be set off againstthe sentence or imprisonment,bnss,468,Period of detention undergone by accused to be set off against sentence of imprisonment,near-identical,0.9125
crpc,429,Saving,bnss,469,Saving,near-identical,1
crpc,430,Return of warrant on execution sentence,bnss,470,Return of warrant on execution of sentence,near-identical,1
crpc,431,Money ordered to be paid recoverable as a fine,bnss,471,Money ordered to be paid recoverable as a fine,near-identical,0.95
crpc,432,Power to suspend or remit sentences,bnss,473,Power to suspend or remit sentences,near-identical,0.9878
crpc,433,Power to commute sentence,bnss,474,Power to commute sentence,near-identical,0.95
crpc,433A,Restriction on powers of remission or Commutation in certain cases,bnss,475,Restriction on powers of remission or commutation in certain cases,near-identical,1
crpc,434,Concurrent power of Central Government in case of death sentences,bnss,476,Concurrent power of Central Government in case of death sentences,near-identical,1
crpc,435,State Government to act after consultation with Central Government incertain cases,bnss,477,State Government to act after concurrence with Central Government in certain cases,close,0.8052
crpc,436,In what cases bail to be taken,bnss,478,In what cases bail to be taken,near-identical,0.95
crpc,437,When bail may be taken in case of non-bailable offence,bnss,480,When bail may be taken in case of non-bailable offence,near-identical,0.95
crpc,438,Direction for grant of bail to person apprehending arrest,bnss,482,Direction for grant of bail to person apprehending arrest,near-identical,0.9639
crpc,439,Special powers of High Court or Court of Session regarding bail,bnss,483,Special powers of High Court or Court of Session regarding bail,near-identical,0.95
crpc,440,Amount of bond and reduction thereof,bnss,484,Amount of bond and reduction thereof,near-identical,1
crpc,441,Bond of accused and sureties,bnss,485,Bond of accused and sureties,near-identical,0.9845
crpc,442,Discharge from custody,bnss,487,Discharge from custody,near-identical,0.9893
crpc,443,Power to order sufficient bail when that first taken is insufficient,bnss,488,Power to order sufficient bail when that first taken is insufficient,near-identical,1
crpc,444,Discharge of sureties,bnss,489,Discharge of sureties,near-identical,1
crpc,445,Deposit instead of recognizance,bnss,490,Deposit instead of recognizance,near-identical,0.9719
crpc,446,Procedure when bond has been forfeited,bnss,491,Procedure when bond has been forfeited,near-identical,0.9657
crpc,446A,"section against his surety or sureties, and, ;if such certified copy is so used, the Court shall presume that such offence was committed by him unless the contrary is proved",bnss,492,Cancellation of bond and bail bond,close,0.7284
crpc,447,Procedure in case of insolvency or death of surety or when a bond isforfeited,bnss,493,Procedure in case of insolvency or death of surety or when a bond is forfeited,near-identical,0.8675
crpc,448,Bond required from minor,bnss,494,Bond required from child,close,0.7531
crpc,449,Appeal from orders under section 446,bnss,495,Appeal from orders under section 491,near-identical,1
crpc,450,Power to direct levy of amount due on certain recognizances,bnss,496,Power to direct levy of amount due on certain recognizances,near-identical,0.95
crpc,451,Order for custody and disposal of property pending trial in certaincases,bnss,497,Order for custody and disposal of property pending trial in certain cases,close,0.8317
crpc,452,Order for disposal of property at conclusion of trial,bnss,498,Order for disposal of property at conclusion of trial,near-identical,0.9733
crpc,453,Payment to innocent purchaser of money found on accused,bnss,499,Payment to innocent purchaser of money found on accused,near-identical,0.9797
crpc,454,Appeal against orders under section 452 or section 453,bnss,500,Appeal against orders under section 498 or section 499,near-identical,0.993
crpc,455,Destruction of libellous and other matter,bnss,501,Destruction of libellous and other matter,near-identical,0.9908
crpc,456,Power to restore possession of immovable property,bnss,502,Power to restore possession of immovable property,near-identical,0.95
crpc,457,Procedure by police upon seizure of property,bnss,503,Procedure by police upon seizure of property,near-identical,1
crpc,458,Procedure where no claimant appears within six months,bnss,504,Procedure where no claimant appears within six months,near-identical,0.9642
crpc,459,Power to sell perishable property,bnss,505,Power to sell perishable property,near-identical,0.95
crpc,460,Irregularities which do not vitiate proceedings,bnss,506,Irregularities which do not vitiate proceedings,near-identical,1
crpc,461,Irregularities which vitiate proceedings,bnss,507,Irregularities which vitiate proceedings,near-identical,0.9875
crpc,462,Proceedings in wrong place,bnss,508,Proceedings in wrong place,near-identical,1
crpc,463,Non-compliance with provisions of section 164 or section 281,bnss,509,Non-compliance with provisions of section 183 or section 316,near-identical,0.9592
crpc,464,"Effect of omission to frame, or absence of, or error in, charge",bnss,510,"Effect of omission to frame, or absence of, or error in, charge",near-identical,0.9788
crpc,465,"Finding or sentence when reversible by reason of error, omission orirregularity",bnss,511,"Finding or sentence when reversible by reason of error, omission or irregularity",near-identical,0.9369
crpc,466,Defect or error not to make attachment unlawful,bnss,512,Defect or error not to make attachment unlawful,near-identical,0.95
crpc,467,Definitions,bnss,513,Definitions,near-identical,1
crpc,468,Bar to taking cognizance after lapse of the period of limitation,bnss,514,Bar to taking cognizance after lapse of period of limitation,close,0.843
crpc,469,Commencement of the period of limitation,bnss,515,Commencement of period of limitation,near-identical,1
crpc,470,Exclusion of time in certain cases,bnss,516,Exclusion of time in certain cases,near-identical,0.9963
crpc,471,Exclusion of date on which Court is closed,bnss,517,Exclusion of date on which Court is closed,near-identical,1
crpc,472,Continuing offence,bnss,518,Continuing offence,near-identical,1
crpc,473,Extension of period of limitation in certain cases,bnss,519,Extension of period of limitation in certain cases,near-identical,0.95
crpc,474,Trials before High Courts,bnss,520,Trials before High Courts,near-identical,0.9631
crpc,475,Delivery to commanding officers of persons liable to be tried byCourt-martial,bnss,521,Delivery to commanding officers of persons liable to be tried by Court-martial,near-identical,0.9265
crpc,476,Forms,bnss,522,Forms,near-identical,1
crpc,477,Power of High Court to make rules,bnss,523,Power of High Court to make rules,near-identical,0.9882
crpc,478,Power to alter functions allocated to Executive Magistrates in certaincases,bnss,524,Power to alter functions allocated to Executive Magistrate in certain cases,close,0.8352
crpc,479,Case in which Judge or Magistrate is personally interested,bnss,525,Cases in which Judge or Magistrate is personally interested,near-identical,0.9001
crpc,480,Practising pleader not to sit as Magistrate in certain Courts,bnss,526,Practising advocate not to sit as Magistrate in certain Courts,close,0.6268
crpc,481,Public servant concerned in sale not to purchase or bid for property,bnss,527,Public servant concerned in sale not to purchase or bid for property,near-identical,1
crpc,482,Saving of inherent powers of High Court,bnss,528,Saving of inherent powers of High Court,near-identical,1
crpc,483,Duty of High Court to exercise continuous superintendence over Courtsof Judicial Magistrates,bnss,529,Duty of High Court to exercise continuous superintendence over Courts,close,0.8396
crpc,484,Repeal and savings,bnss,531,Repeal and savings,near-identical,0.8784
iea,1,Short title,bsa,1,"Short title, application and commencement",weak,0.5614
iea,2,Repeal of enactments,bsa,,,none,0.1895
iea,3,Interpretation-clause,bsa,2,Definitions,close,0.6372
iea,4,“May presume”,bsa,2,Definitions,close,0.6788
iea,5,Evidence may be given of facts in issue and relevant facts,bsa,3,Evidence may be given of facts in issue and relevant facts,near-identical,1
iea,6,Relevancy of facts forming part of same transaction,bsa,4,Relevancy of facts forming part of same transaction,near-identical,0.9713
iea,7,"Facts which are the occasion, cause or effect of facts in issue",bsa,5,"Facts which are occasion, cause or effect of facts in issue or relevant facts",near-identical,0.9927
iea,8,"Motive, preparation and previous or subsequent conduct",bsa,6,"Motive, preparation and previous or subsequent conduct",near-identical,0.975
iea,9,Facts necessary to explain or introduce relevant facts,bsa,7,Facts necessary to explain or introduce fact in issue or relevant facts,near-identical,0.96
iea,10,Things said or done by conspirator in reference to common design,bsa,8,Things said or done by conspirator in reference to common design,near-identical,0.9512
iea,11,When facts not otherwise relevant become relevant,bsa,9,When facts not otherwise relevant become relevant,near-identical,0.96
iea,12,"In suits for damages, facts tending to enable Court to determine amount are relevant",bsa,10,Facts tending to enable Court to determine amount are relevant in suits for damages,near-identical,1
iea,13,Facts relevant when right or custom is in question,bsa,11,Facts relevant when right or custom is in question,near-identical,0.9527
iea,14,"Facts showing existence of state of mind, or of body of bodily feeling",bsa,12,"Facts showing existence of state of mind, or of body or bodily feeling",near-identical,0.9784
iea,15,Facts bearing on question whether act was accidental or intentional,bsa,13,Facts bearing on question whether act was accidental or intentional,near-identical,0.959
iea,16,Existence of course of business when relevant,bsa,14,Existence of course of business when relevant,near-identical,0.95
iea,17,Admission defined,bsa,15,Admission defined,near-identical,1
iea,18,Admission,bsa,16,Admission by party to proceeding or his agent,close,0.8353
iea,19,Admissions by persons whose position must be proved as against party to suit,bsa,17,Admissions by persons whose position must be proved as against party to suit,near-identical,0.9864
iea,20,Admissions by persons expressly referred to by party to suit,bsa,18,Admissions by persons expressly referred to by party to suit,near-identical,1
iea,21,"Proof of admissions against persons making them, and by or on their behalf",bsa,19,"Proof of admissions against persons making them, and by or on their behalf",near-identical,0.9535
iea,22,When oral admissions as to contents of documents are relevant,bsa,20,When oral admissions as to contents of documents are relevant,near-identical,1
iea,22A,When oral admission as to contents of electronic records are relevant,bsa,20,When oral admissions as to contents of documents are relevant,weak,0.589
iea,23,Admissions in civil cases when relevant,bsa,21,Admissions in civil cases when relevant,near-identical,0.95
iea,24,"Confession caused by inducement, threat or promise, when irrelevant in criminal proceeding",bsa,22,"Confession caused by inducement, threat, coercion or promise, when irrelevant in criminal proceeding",near-identical,0.885
iea,25,Confession to police-officer not to be proved,bsa,23,Confession to police officer,near-identical,0.8849
iea,26,Confession by accused while in custody of police not to be proved against him,bsa,,,none,0.365
iea,27,How much of information received from accused may be proved,bsa,23,Confession to police officer,weak,0.6181
iea,28,"Confession made after removal of impression caused by inducement, threat or promise, relevant",bsa,22,"Confession caused by inducement, threat, coercion or promise, when irrelevant in criminal proceeding",close,0.7355
iea,29,"Confession otherwise relevant not to become irrelevant because of promise of secrecy, etc",bsa,22,"Confession caused by inducement, threat, coercion or promise, when irrelevant in criminal proceeding",close,0.7312
iea,30,Consideration of proved confession affecting person making it and others jointly under trial for same offence,bsa,24,Consideration of proved confession affecting person making it and others jointly under trial for same offence,near-identical,0.95
iea,31,"Admissions not conclusive proof, but may estop",bsa,25,"Admissions not conclusive proof, but may estop",near-identical,0.95
iea,32,"Cases in which statement of relevant fact by person who is dead or cannot be found, etc., is relevant",bsa,26,"Cases in which statement of relevant fact by person who is dead or cannot be found, etc., is relevant",near-identical,0.9672
iea,33,"Relevancy of certain evidence for proving, in subsequent proceeding, the truth of facts therein stated",bsa,27,"Relevancy of certain evidence for proving, in subsequent proceeding, truth of facts therein stated",near-identical,0.9761
iea,34,Entries in books of account when relevant,bsa,28,Entries in books of account when relevant,near-identical,0.9708
iea,35,Relevancy of entry in public record made in performance of duty,bsa,29,Relevancy of entry in public record or an electronic record made in performance of duty,near-identical,0.9506
iea,36,"Relevancy of statements in maps, charts and plans",bsa,30,"Relevancy of statements in maps, charts and plans",near-identical,1
iea,37,Relevancy of statement as to fact of public nature contained in certain Acts or notifications,bsa,31,Relevancy of statement as to fact of public nature contained in certain Acts or notifications,near-identical,0.95
iea,38,Relevancy of statements as to any law contained in law-books,bsa,32,Relevancy of statements as to any law contained in law books including electronic or digital form,close,0.8206
iea,39,"What evidence to be given when statement forms part of a conversation, document, electronic record, book or series of letters or papers",bsa,33,"What evidence to be given when statement forms part of a conversation, document, electronic record, book or series of letters or papers",near-identical,0.9693
iea,40,Previous judgments relevant to bar a second suit or trial,bsa,34,Previous judgments relevant to bar a second suit or trial,near-identical,1
iea,41,"Relevancy of certain judgments in probate, etc., jurisdiction",bsa,35,"Relevancy of certain judgments in probate, etc., jurisdiction",near-identical,0.9904
iea,42,"Relevancy and effect of judgments, orders or decrees, other than those mentioned in relate to matters of a public nature relevant to the enquiry; but such judgments, orders or decrees are not conclusive proof of that which they state",bsa,36,"Relevancy and effect of judgments, orders or decrees, other than those mentioned in section 35",close,0.8414
iea,43,"Judgments, etc., other than those mentioned in sections 40, 41 and 42, when relevant",bsa,37,"Judgments, etc., other than those mentioned in sections 34, 35 and 36 when relevant",near-identical,0.95
iea,44,"Fraud or collusion in obtaining judgment, or incompetency of Court, may be proved",bsa,38,"Fraud or collusion in obtaining judgment, or incompetency of Court, may be proved",near-identical,0.95
iea,45,Opinions of experts,bsa,39,Opinions of experts,near-identical,0.92
iea,45A,Opinion of Examiner of Electronic Evidence,bsa,39,Opinions of experts,close,0.7
iea,46,Facts bearing upon opinions of experts,bsa,40,Facts bearing upon opinions of experts,near-identical,1
iea,47,"Opinion as to hand-writing, when relevant",bsa,41,"Opinion as to handwriting and signature, when relevant",close,0.8038
iea,47A,"Opinion as to digital signature, when relevant",bsa,41,"Opinion as to handwriting and signature, when relevant",close,0.8343
iea,48,"Opinion as to existence of right or custom, when relevant",bsa,42,"Opinion as to existence of general custom or right, when relevant",near-identical,0.9657
iea,49,"Opinion as to usages, tenets, etc., when relevant",bsa,43,"Opinion as to usages, tenets, etc., when relevant",near-identical,0.95
iea,50,"Opinion on relationship, when relevant",bsa,44,"Opinion on relationship, when relevant",near-identical,0.9707
iea,51,"Grounds of opinion, when relevant",bsa,45,"Grounds of opinion, when relevant",near-identical,0.9644
iea,52,"In civil cases character to prove conduct imputed, irrelevant",bsa,46,"In civil cases character to prove conduct imputed, irrelevant",near-identical,1
iea,53,In criminal cases previous good character relevant,bsa,47,In criminal cases previous good character relevant,near-identical,1
iea,53A,Evidence of character or previous sexual experience not relevant in certain cases,bsa,48,Evidence of character or previous sexual experience not relevant in certain cases,near-identical,0.9636
iea,54,"Previous bad character not relevant, except in reply",bsa,49,"Previous bad character not relevant, except in reply",near-identical,0.9989
iea,55,Character as affecting damages,bsa,50,Character as affecting damages,near-identical,0.95
iea,56,Fact judicially noticeable need not be proved,bsa,51,Fact judicially noticeable need not be proved,near-identical,1
iea,57,Facts of which Court must take judicial notice,bsa,52,Facts of which Court shall take judicial notice,close,0.8046
iea,58,Facts admitted need not be proved,bsa,53,Facts admitted need not be proved,near-identical,0.95
iea,59,Proof of facts by oral evidence,bsa,54,Proof of facts by oral evidence,near-identical,0.95
iea,60,Oral evidence must be direct,bsa,55,Oral evidence to be direct,near-identical,0.9727
iea,61,Proof of contents of documents,bsa,56,Proof of contents of documents,near-identical,1
iea,62,Primary evidence,bsa,57,Primary evidence,near-identical,0.9
iea,63,Secondary evidence,bsa,58,Secondary evidence,near-identical,0.9329
iea,64,Proof of documents by primary evidence,bsa,59,Proof of documents by primary evidence,near-identical,1
iea,65,Cases in which secondary evidence relating to documents may be given,bsa,60,Cases in which secondary evidence relating to documents maybe given,near-identical,0.9272
iea,65A,Special provisions as to evidence relating to electronic record,bsa,62,Special provisions as to evidence relating to electronic record,near-identical,1
iea,65B,Admissibility of electronic records,bsa,63,Admissibility of electronic records,near-identical,0.95
iea,66,Rules as to notice to produce,bsa,64,Rules as to notice to produce,near-identical,0.9789
iea,67,Proof of signature and handwriting of person alleged to have signed or written document produced,bsa,65,Proof of signature and handwriting of person alleged to have signed or written document produced,near-identical,1
iea,67A,Proof as to [electronic signature,bsa,66,Proof as to electronic signature,near-identical,1
iea,68,Proof of execution of document required by law to be attested,bsa,67,Proof of execution of document required by law to be attested,near-identical,1
iea,69,Proof where no attesting witness found,bsa,68,Proof where no attesting witness found,near-identical,0.95
iea,70,Admission of execution by party to attested document,bsa,69,Admission of execution by party to attested document,near-identical,1
iea,71,Proof when attesting witness denies the execution,bsa,70,Proof when attesting witness denies execution,near-identical,1
iea,72,Proof of document not required by law to be attested,bsa,71,Proof of document not required by law to be attested,near-identical,1
iea,73,"Comparison of signature, writing or seal with others admitted or proved",bsa,72,"Comparison of signature, writing or seal with others admitted or proved",near-identical,1
iea,73A,Proof as to verification of digital signature,bsa,73,Proof as to verification of digital signature,near-identical,0.95
iea,74,Public documents,bsa,74,Public and private documents,close,0.8403
iea,75,Private documents,bsa,74,Public and private documents,near-identical,0.8635
iea,76,Certified copies of public documents,bsa,75,Certified copies of public documents,near-identical,0.95
iea,77,Proof of documents by production of certified copies,bsa,76,Proof of documents by production of certified copies,near-identical,1
iea,78,Proof of other official documents,bsa,77,Proof of other official documents,near-identical,0.95
iea,79,Presumption as to genuineness of certified copies,bsa,78,Presumption as to genuineness of certified copies,near-identical,0.95
iea,80,Presumption as to documents produced as record of evidence,bsa,79,"Presumption as to documents produced as record of evidence, etc",near-identical,0.9442
iea,81,"Presumption as to Gazettes, newspapers, private Acts of Parliament and other documents",bsa,80,"Presumption as to Gazettes, newspapers, and other documents",weak,0.5935
iea,81A,Presumption as to Gazettes in electronic forms,bsa,81,Presumption as to Gazettes in electronic or digital record,close,0.815
iea,82,Presumption as to document admissible in England without proof of seal or signature,bsa,,,none,0.2824
iea,83,Presumption as to maps or plans made by authority of Government,bsa,82,Presumption as to maps or plans made by authority of Government,near-identical,1
iea,84,Presumption as to collections of laws and reports of decisions,bsa,83,Presumption as to collections of laws and reports of decisions,near-identical,0.95
iea,85,Presumption as to powers-of-attorney,bsa,84,Presumption as to powers-of-attorney,near-identical,1
iea,85A,Presumption as to electronic agreements,bsa,85,Presumption as to electronic agreements,near-identical,0.95
iea,85B,Presumption as to electronic records and [electronic signatures,bsa,86,Presumption as to electronic records and electronic signatures,near-identical,0.9516
iea,85C,Presumption as to [Electronic Signature Certificates,bsa,87,Presumption as to Electronic Signature Certificates,near-identical,1
iea,86,Presumption as to certified copies of foreign judicial records,bsa,88,Presumption as to certified copies of foreign judicial records,near-identical,0.95
iea,87,"Presumption as to books, maps and charts",bsa,89,"Presumption as to books, maps and charts",near-identical,1
iea,88,Presumption as to telegraphic messages,bsa,90,Presumption as to electronic messages,close,0.6758
iea,88A,Presumption as to electronic messages,bsa,90,Presumption as to electronic messages,near-identical,0.95
iea,89,"Presumption as to due execution, etc., of documents not produced",bsa,91,"Presumption as to due execution, etc., of documents not produced",near-identical,1
iea,90,Presumption as to documents thirty years old,bsa,92,Presumption as to documents thirty years old,near-identical,0.95
iea,90A,Presumption as to electronic records five years old,bsa,93,Presumption as to electronic records five years old,near-identical,0.95
iea,91,"Evidence of terms of contracts, grants and other dispositions of property reduced to form of document",bsa,94,"Evidence of terms of contracts, grants and other dispositions of property reduced to form of document",near-identical,0.9893
iea,92,Exclusion of evidence of oral agreement,bsa,95,Exclusion of evidence of oral agreement,near-identical,0.9651
iea,93,Exclusion of evidence to explain or amend ambiguous document,bsa,96,Exclusion of evidence to explain or amend ambiguous document,near-identical,0.95
iea,94,Exclusion of evidence against application of document to existing facts,bsa,97,Exclusion of evidence against application of document to existing facts,near-identical,0.9626
iea,95,Evidence as to document unmeaning in reference to existing facts,bsa,98,Evidence as to document unmeaning in reference to existing facts,near-identical,0.95
iea,96,Evidence as to application of language which can apply to one only of several persons,bsa,99,Evidence as to application of language which can apply to one only of several persons,near-identical,0.95
iea,97,"Evidence as to application of language to one of two sets of facts, to neither of which the whole correctly applies",bsa,100,". Evidence as to application of language to one of two sets of facts, to neither of which the whole correctly applies",near-identical,1
iea,98,"Evidence as to meaning of illegible characters, etc",bsa,101,"Evidence as to meaning of illegible characters, etc",near-identical,0.9653
iea,99,Who may give evidence of agreement varying terms of document,bsa,102,Who may give evidence of agreement varying terms of document,near-identical,1
iea,100,Saving of provisions of Indian Succession Act relating to wills,bsa,103,Saving of provisions of Indian Succession Act relating to wills,near-identical,0.95
iea,101,Burden of proof,bsa,104,Burden of proof,near-identical,1
iea,102,On whom burden of proof lies,bsa,105,On whom burden of proof lies,near-identical,1
iea,103,Burden of proof as to particular fact,bsa,106,Burden of proof as to particular fact,near-identical,0.9897
